Date,Datetime,Close_Real_EYAC2,Volume_EYAC2,Close_Dolar_EYAC2,Price_Dolar_Petro,Volume_Petro,Change%_Petro,Índice_Ibovespa,Change%_Ibovespa,Value_IPCA
2023-01-12,2023-01-12 16:56:00,24.72568454,58130033.09,4.71783177316873,78.65,188.06,1.25%,111850.22,-11.870955064045695,0.53%
2023-01-13,2023-01-13 16:56:00,24.04769278,40002646.26,4.60992864564363,80.11,189.32,1.86%,110916.08,-12.252040160746148,0.53%
2023-01-16,2023-01-16 16:56:00,22.29474434,31973709.23,4.350448677971394,79.04,242.88,-0.93%,109212.66,-16.117440403818517,0.53%
2023-01-17,2023-01-17 16:56:00,24.83547638,91797491.68,4.848406290020303,80.45,267.91,1.78%,111439.12,-10.590661496331345,0.53%
2023-01-18,2023-01-18 16:56:00,24.73133097,69692709.86,4.897584206982593,79.8,326.23,-0.81%,112228.39,-10.05409734990388,0.53%
2023-01-19,2023-01-19 16:56:00,25.68326763,75553395.17,5.023425514894282,80.61,321.13,1.02%,112921.88,-13.855211116062993,0.53%
2023-01-20,2023-01-20 16:56:00,26.82533846,114219387.3,5.257499257197735,81.64,300.15,1.28%,112040.64,-15.024743858403689,0.53%
2023-01-23,2023-01-23 16:56:00,26.09252065,87677943.73,5.123715395189003,81.93,104.29,0.36%,111737.28,-15.830648709599105,0.53%
2023-01-24,2023-01-24 16:56:00,28.54716896,65794215.65,5.560414678613167,80.44,93.04,-1.82%,113028.15,-10.703156015271498,0.53%
2023-01-25,2023-01-25 16:56:00,27.09951665,51833075.83,5.233183348138422,80.44,101.06,0.00%,114270.07,-8.9606792754495,0.53%
2023-01-26,2023-01-26 16:56:00,25.60154753,73344940.88,4.944961182469627,81.28,98.18,1.04%,114177.55,1.1943457930548185,0.53%
2023-01-27,2023-01-27 16:56:00,26.23208096,47681868.33,5.048417266796251,79.96,123.92,-1.62%,112316.16,-15.888786076122663,0.53%
2023-01-30,2023-01-30 16:56:00,25.77240251,40683378.03,4.9841231719816665,78.18,101.7,-2.23%,112273.01,-11.01142117616175,0.53%
2023-01-31,2023-01-31 16:56:00,26.81752223,54048724.39,5.255246370762297,79.17,88.38,1.27%,113430.54,-10.916875623178369,0.53%
2023-02-01,2023-02-01 16:56:00,26.04268304,56349119.02,5.101407059745347,76.73,113.87,-3.08%,112073.55,-3.4157443465485327,0.84%
2023-02-02,2023-02-02 16:56:00,25.24456936,83822983.96,4.933181435522639,76.2,94.84,-0.69%,110140.64,3.538974291386343,0.84%
2023-02-03,2023-02-03 16:56:00,23.94053505,71170602.64,4.703167799540302,73.74,126.22,-3.23%,108523.47,4.183458016042496,0.84%
2023-02-06,2023-02-06 16:56:00,21.79741538,82794443.72,4.322482624732292,74.47,120.92,0.99%,108721.58,-0.2222024398951139,0.84%
